game_id,week,home_team,away_team,home_line_type,home_pairing_type,away_line_type,away_pairing_type,home_goalie,away_goalie,went_ot,toi,home_shots,away_shots,home_xg,away_xg,home_max_xg,away_max_xg,home_goals,away_goals,home_assists,away_assists,home_penalties_taken,away_penalties_taken,home_penalties_drawn,away_penalties_drawn,home_penalty_minutes,away_penalty_minutes
1,1,China,Kazakhstan,top,top,top,top,Jeremy Duncan,Damon Glover,0,358.13,0,2,0.0,0.1023,0.0,0.0557,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,top,secondary,top,Jeremy Duncan,Damon Glover,0,360.37,1,0,0.0834,0.0,0.0834,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,top,secondary,secondary,Jeremy Duncan,Damon Glover,0,113.98,3,2,0.3089,0.0901,0.103,0.0451,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,top,secondary,secondary,Jeremy Duncan,Damon Glover,0,78.47,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,secondary,secondary,secondary,Jeremy Duncan,Damon Glover,0,340.16,3,1,0.367,0.0967,0.1223,0.0967,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,secondary,top,secondary,Jeremy Duncan,Damon Glover,0,251.65,1,2,0.103,0.2172,0.103,0.1086,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,secondary,top,secondary,Jeremy Duncan,Damon Glover,0,106.0,1,2,0.1717,0.1664,0.1717,0.0832,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,top,top,secondary,Jeremy Duncan,Damon Glover,0,77.14,1,0,0.0836,0.0,0.0836,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,top,secondary,top,Jeremy Duncan,Damon Glover,0,70.21,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,top,top,top,Jeremy Duncan,Damon Glover,0,63.69,0,1,0.0,0.0812,0.0,0.0812,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,secondary,secondary,top,top,Jeremy Duncan,Damon Glover,0,106.27,1,0,0.0834,0.0,0.0834,0.0,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,top,secondary,secondary,secondary,Jeremy Duncan,Damon Glover,0,102.74,1,1,0.1195,0.0713,0.1195,0.0713,0,0,0,0,0,0,0,0,0,0
1,1,China,Kazakhstan,PK,PK,PP,PP,Jeremy Duncan,Damon Glover,0,540.05,3,8,0.237,0.9683,0.0895,0.131,0,2,0,4,6,1,1,6,12,4
