game_id,week,home_team,away_team,went_ot,home_shots,away_shots,home_xg,away_xg,home_max_xg,away_max_xg,home_goals,away_goals,home_assists,away_assists,home_penalties_taken,away_penalties_taken,home_penalties_drawn,away_penalties_drawn,home_penalty_minutes,away_penalty_minutes
1,1,China,Kazakhstan,0,36,15,4.6949,1.1079,0.2241,0.1074,5,0,6,0,1,9,9,1,2,20
2,1,Denmark,Poland,0,17,25,1.9408,2.6465,0.1739,0.224,3,4,6,5,9,6,6,9,18,12
3,1,Great Britain,Canada,0,19,24,2.4546,2.8118,0.184,0.2156,3,2,6,4,4,7,7,4,8,14
4,1,Ukraine,Norway,0,24,16,2.1724,1.7724,0.1557,0.1492,3,4,4,6,2,1,1,2,4,2
5,1,Belarus,Russia,0,27,27,2.4033,3.7055,0.1388,0.2121,4,2,6,4,1,5,5,1,2,10
6,1,Netherlands,Croatia,0,25,19,3.4742,2.6607,0.1962,0.2233,3,1,4,1,3,5,5,3,6,10
7,1,Slovenia,Finland,0,30,24,3.2786,3.2651,0.2219,0.1624,3,4,6,7,2,5,5,2,4,10
8,1,Czech Republic,Japan,1,47,34,4.972,4.1868,0.1977,0.25,3,4,6,7,8,11,11,8,16,22
9,1,Austria,France,0,28,32,3.0583,4.2555,0.1551,0.252,4,5,8,10,7,1,1,7,14,2
10,1,Italy,Germany,0,29,24,3.6622,2.9789,0.1802,0.1845,4,2,5,1,6,7,7,6,12,14
11,1,Sweden,Switzerland,0,35,27,4.1149,3.2718,0.2371,0.2362,3,5,5,10,6,10,10,6,12,20
12,1,Hungary,South Korea,0,24,22,3.0343,2.2905,0.2253,0.1543,4,3,8,6,8,13,13,8,16,26
13,1,Belgium,United States,0,19,22,2.1383,2.243,0.184,0.1353,1,5,1,10,3,7,7,3,6,14
14,1,Estonia,Latvia,0,34,32,3.3452,3.9715,0.2018,0.2349,2,5,4,8,10,6,6,10,20,12
15,1,Lithuania,Romania,0,17,18,2.0426,1.5049,0.1474,0.1247,3,0,5,0,5,6,6,5,10,12
16,1,Spain,Slovakia,1,27,26,2.57,3.2188,0.2,0.233,2,3,4,6,10,7,7,10,20,14
17,2,Denmark,Russia,0,25,26,2.085,3.8571,0.2223,0.2541,5,2,9,0,8,4,4,8,16,8
18,2,Austria,Poland,0,23,23,3.2057,2.6801,0.241,0.1596,2,0,4,0,7,9,9,7,14,18
19,2,Croatia,Spain,1,23,26,3.2479,2.7984,0.1962,0.1718,2,3,4,3,5,9,9,5,10,18
20,2,Canada,Norway,0,30,26,3.4181,2.8571,0.149,0.1913,6,4,9,8,4,6,6,4,11,12
21,2,Sweden,Kazakhstan,0,31,22,3.1572,2.4932,0.1926,0.1473,2,3,3,4,6,6,6,6,12,12
22,2,Great Britain,United States,0,21,23,2.7674,2.3436,0.1901,0.1445,2,4,4,6,7,5,5,7,14,10
23,2,Japan,Belarus,0,31,23,3.9118,2.1179,0.2235,0.1405,3,4,6,7,4,7,7,4,8,14
24,2,Slovenia,Italy,0,31,25,3.8015,3.2928,0.1772,0.1644,5,1,9,2,7,3,3,7,16,6
25,2,China,Belgium,0,22,17,2.3082,1.475,0.1688,0.1314,2,4,4,5,7,3,3,7,14,6
