team,GP,W,OTW,L,OTL,PTS,GF,GA,GD
United States,82,41,17,15,9,125,303,220,83
Great Britain,82,45,11,16,10,122,324,247,77
Romania,82,36,16,21,9,113,234,185,49
Lithuania,82,39,11,24,8,108,271,220,51
Norway,82,41,9,24,8,108,269,228,41
Latvia,82,38,9,24,11,105,295,243,52
Switzerland,82,36,12,25,9,105,277,248,29
Russia,82,31,18,27,6,104,279,219,60
Kazakhstan,82,35,10,26,11,101,252,238,14
Belgium,82,35,9,25,13,101,239,225,14
Ukraine,82,36,11,29,6,100,247,218,29
Estonia,82,35,10,27,10,100,266,242,24
Netherlands,82,34,11,27,10,100,281,264,17
Slovenia,82,36,10,28,8,100,316,305,11
Croatia,82,32,11,26,13,99,277,244,33
France,82,30,13,30,9,95,310,284,26
Italy,82,29,11,29,13,93,261,268,-7
Slovakia,82,31,9,30,12,92,261,256,5
Germany,82,30,9,30,13,91,269,265,4
China,82,26,12,29,15,91,221,228,-7
Canada,82,31,9,33,9,89,258,263,-5
Finland,82,27,13,33,9,89,258,283,-25
Hungary,82,31,6,36,9,83,256,276,-20
Spain,82,31,5,38,8,80,263,287,-24
Belarus,82,25,11,39,7,79,245,291,-46
Poland,82,25,9,41,7,75,216,271,-55
Japan,82,23,6,40,13,71,252,275,-23
South Korea,82,24,6,44,8,68,226,310,-84
Czech Republic,82,21,7,43,11,67,261,327,-66
Austria,82,18,8,43,13,65,224,304,-80
Denmark,82,21,5,43,13,65,249,348,-99
Sweden,82,18,7,46,11,61,237,315,-78
