team,GP,W,OTW,L,OTL,PTS,GF,GA,GD
Russia,82,46,13,18,5,123,280,192,88
Latvia,82,43,12,21,6,116,302,239,63
Great Britain,82,37,13,18,14,114,312,245,67
Croatia,82,38,14,22,8,112,342,269,73
Canada,82,44,8,22,8,112,305,239,66
Slovakia,82,39,11,21,11,111,254,197,57
Finland,82,40,8,22,12,108,271,233,38
Lithuania,82,35,10,24,13,103,266,230,36
Estonia,82,38,10,27,7,103,254,225,29
Switzerland,82,33,12,26,11,101,256,236,20
Norway,82,37,10,29,6,100,282,217,65
Slovenia,82,35,9,26,12,100,294,262,32
Belgium,82,29,14,28,11,97,223,237,-14
Italy,82,27,17,30,8,96,255,267,-12
France,82,31,10,32,9,91,273,281,-8
Romania,82,32,7,31,12,90,221,220,1
Ukraine,82,31,8,33,10,88,233,234,-1
China,82,31,8,34,9,87,236,238,-2
Spain,82,30,6,31,15,87,242,271,-29
Netherlands,82,30,9,35,8,86,267,286,-19
Belarus,82,24,13,35,10,84,237,277,-40
United States,82,32,6,37,7,83,243,258,-15
Sweden,82,26,7,34,15,81,232,292,-60
South Korea,82,24,7,34,17,79,248,291,-43
Kazakhstan,82,27,9,40,6,78,227,244,-17
Germany,82,26,9,41,6,76,245,287,-42
Austria,82,20,14,43,5,73,231,275,-44
Japan,82,22,10,41,9,73,220,274,-54
Hungary,82,25,6,41,10,72,216,263,-47
Poland,82,22,10,42,8,72,219,269,-50
Czech Republic,82,23,6,40,13,71,248,302,-54
Denmark,82,24,5,43,10,68,237,321,-84
